feature,importance
rainfall,0.19619304787128963
temperature,0.1956892200890539
ph,0.1385059371273846
crop_Dry Chillies,0.049086642675997584
crop_Sugarcane,0.0418314859657281
crop_Mango,0.04122404404575334
crop_Carrot,0.03892700245006344
crop_Sugar Beet,0.02577365910470125
silt,0.020729472719861815
organic_matter_pct,0.02009289851954481
crop_Cauliflower,0.01865445762450731
clay,0.018452649246289175
sand,0.018272587473250095
crop_Urad (Black Gram),0.017137753566782973
crop_Cabbage,0.015968510762130718
crop_Coconut,0.014157584496918082
crop_Coffee,0.012588325263405956
crop_Jowar (Sorghum),0.011554202717914004
crop_Rubber,0.008894845566338103
crop_Groundnut,0.006848579162861584
crop_Tea,0.005431396802269141
crop_Rice,0.005039898967628296
crop_Barseem,0.004781377680144743
crop_Moong (Green Gram),0.004517998457349756
crop_Guava,0.004410793950517774
crop_Bajra (Pearl Millet),0.004035433849546808
crop_Sesamum (Sesame),0.003962895024199212
crop_Napier Grass,0.0038960970503157397
crop_Lucerne,0.003722046433347059
crop_Papaya,0.003622710477070545
crop_Potato,0.003262236523567221
crop_Turmeric,0.0032091372038972996
crop_Radish,0.0030399709789900296
crop_Cotton,0.002989798070224636
crop_Rajma (Kidney Beans),0.0026805547909053624
crop_Sunflower,0.0026729204724157975
crop_Turnip,0.0025607428935840856
crop_Coriander,0.002544106376724964
crop_Mustard,0.00242935295824673
crop_Banana,0.002318603262133021
crop_Maize,0.002279787299002447
crop_Tur (Pigeon Pea),0.0022375314012565675
crop_Ragi (Finger Millet),0.002197603825894507
crop_Onion,0.00217794079580329
crop_Spinach,0.0020528857108361147
crop_Wheat,0.001617654616800843
crop_Jute,0.00145212935734667
crop_Gram (Chickpea),0.0013181763832381102
crop_Peas,0.0010499828148316974
crop_Barley,0.0010270175509690747
crop_Masoor (Red Lentil),0.0008783115711659701
